,User-ID,Location,Age
2880,2881,"kunming, calabria, china",
239666,239667,"new haven, connecticut, usa",
165287,165288,"stockport, greater manchester, united kingdom",69.0
85725,85726,"new plymouth, n/a, new zealand",49.0
72129,72130,"troy, michigan, usa",
196535,196536,"severn, maryland, usa",
208949,208950,"valencia, valencia, spain",30.0
191550,191551,"rock spring, georgia, usa",26.0
23484,23485,"conceição de faro, algarve, portugal",35.0
151912,151913,"winton, california, canada",44.0
6009,6010,"melbourne, victoria, australia",
196699,196700,"st. louis, missouri, usa",
219109,219110,"san francisco, california, usa",
8361,8362,"los angeles, california, usa",28.0
250514,250515,"fairfield, connecticut, usa",51.0
144546,144547,"corvallis, oregon, usa",
157790,157791,"berlin, berlin, germany",23.0
125559,125560,"canberra, australian capital territory, australia",20.0
102309,102310,"glasgow, scotland, united kingdom",22.0
23055,23056,"london, london, united kingdom",56.0
182445,182446,"nice, côte d`azur, france",41.0
11537,11538,"wilmington, delaware, usa",
156412,156413,"barcelona, catalunya, spain",26.0
134836,134837,"kuala lumpur, wilayah persekutuan, malaysia",28.0
197649,197650,"valencia, valencia, spain",21.0
4039,4040,"san antonio, texas, usa",
93160,93161,"des moines, ,",
228253,228254,"chandler, arizona, usa",
117398,117399,"st. louis, missouri, usa",
33141,33142,"russell, far north, new zealand",55.0
40408,40409,"falun, n/a, sweden",37.0
246439,246440,"hauppauge, new york, usa",28.0
209037,209038,"guyton, georgia, usa",55.0
60679,60680,"wonju, south korea, usa",45.0
101962,101963,"king city, ontario, canada",53.0
258915,258916,"bartlett, illinois, usa",52.0
28385,28386,"toronto, ,",54.0
7634,7635,"surrey, british columbia, canada",32.0
81650,81651,"bayreuth, bayern, germany",37.0
61098,61099,"rancho cordova, california, usa",
56272,56273,"københavn s, n/a, denmark",35.0
274640,274641,"springvale, maine, usa",46.0
235277,235278,"bayonne, pays basque, france",32.0
199093,199094,"san francisco, california, usa",
178680,178681,"christchurch, canterbury, new zealand",
20260,20261,"london, england, united kingdom",
184801,184802,"warrenton, north carolina, usa",
219728,219729,"palo alto, ,",39.0
181707,181708,"farmington, connecticut, usa",30.0
73389,73390,"naples, campania, italy",24.0
163728,163729,"helsinki, uusimaa, finland",29.0
91445,91446,"chardon, ohio, usa",
151433,151434,"oakley, california, usa",81.0
12407,12408,"cottage hills, illinois, usa",28.0
165300,165301,"lisbon, n/a, portugal",38.0
140101,140102,"lulea, norrbotten, sweden",19.0
227848,227849,"lahore, punjab, pakistan",22.0
36524,36525,"wedel, hamburg, germany",26.0
270392,270393,"dublin, ireland, ireland",32.0
95102,95103,"highlands ranch, colorado, usa",18.0
221305,221306,"rome, georgia, usa",28.0
127925,127926,"lafayette, louisiana, usa",26.0
194371,194372,"berlin, berlin, germany",40.0
151618,151619,"waiuku, auckland, new zealand",
20233,20234,"bilbao, bizkaia,",44.0
122872,122873,"san rafael, calabria, usa",
16800,16801,"boston, massachusetts, usa",32.0
18336,18337,"seneca falls, new york, usa",42.0
44564,44565,"denver city, texas, usa",43.0
222932,222933,"sydney, n/a, australia",
164283,164284,"pamplona, navarra, spain",28.0
233255,233256,"new york, new york, usa",36.0
252194,252195,"barrington, illinois, usa",42.0
103555,103556,"williamsport, indiana, usa",66.0
93669,93670,"spokane, washington, usa",55.0
26332,26333,"marysville, washington, usa",
5308,5309,"barcelona, barcelona, spain",28.0
69827,69828,"porto, porto, portugal",28.0
235739,235740,"ellenwood, georgia, usa",26.0
219667,219668,"rockhampton, queensland, australia",55.0
84211,84212,"portland, oregon, usa",
194270,194271,"leroy, kansas, usa",35.0
160630,160631,"sacramento, ca, california, usa",
60030,60031,"on the road, anywhere - usa, usa",
206962,206963,"kihei, hawaii, usa",61.0
10302,10303,"rome, lazio, italy",51.0
277561,277562,"tonbridge, kent, united kingdom",22.0
211016,211017,"pittsburgh, pennsylvania, usa",54.0
103009,103010,"pasadena, california, usa",34.0
38606,38607,"mississauga, ontario, canada",
100592,100593,"lincoln, nebraska, usa",
256768,256769,"sydney, new south wales, australia",37.0
70969,70970,"madrid, madrid, spain",32.0
189269,189270,"cape girardeau, missouri, usa",
34431,34432,"colwyn bay, conwy, wales, united kingdom",52.0
201329,201330,"ulestraten, limburg, netherlands",33.0
255496,255497,"perth, ontario, canada",56.0
74378,74379,"baton rouge, louisiana, usa",
253644,253645,"rocklin, california, usa",27.0
191928,191929,"lisboa, northwest territories, portugal",28.0
15276,15277,"cochrane, alberta, canada",38.0
30320,30321,"wyoming,, michigan, usa",
194072,194073,"bilbao, vizcaya, spain",55.0
11906,11907,"saginaw, michigan, usa",22.0
75916,75917,"markham, ontario, canada",
276914,276915,"painesville, ohio, usa",
209181,209182,"arbroath, angus, united kingdom",44.0
129061,129062,"sydney, new south wales, australia",
33680,33681,"san diego, california, usa",47.0
105421,105422,"ottawa, ontario, canada",32.0
250373,250374,"london, england, united kingdom",
157074,157075,"san antonio, texas, usa",
144445,144446,"toronto, ontario, canada",30.0
98627,98628,"kuwait, kuwait, kuwait",17.0
44711,44712,"sydney, new south wales, australia",24.0
109770,109771,"n/a, n/a, usa",
235296,235297,"grand island, new york, usa",35.0
258401,258402,"wellington, n/a, new zealand",40.0
56239,56240,"scituate, massachusetts, usa",
211694,211695,"london, england, united kingdom",42.0
252567,252568,"north pole, alaska, usa",
241058,241059,"brisbane, queensland, australia",30.0
143506,143507,"kuala lumpur, federal territory, malaysia",30.0
46518,46519,"paris, paris, france",50.0
240694,240695,"norwood, massachusetts, usa",32.0
45837,45838,"braintree, massachusetts, usa",
182496,182497,"boston, massachusetts, usa",
67332,67333,"lincolnshire, england, united kingdom",37.0
87545,87546,"edinburgh, scotland, united kingdom",45.0
42524,42525,"st. francisville, louisiana, usa",18.0
117867,117868,"danville, california, usa",
135933,135934,"smiths falls, ontario, canada",44.0
255883,255884,"camp hill, pennsylvania, usa",
233952,233953,"anchorage, alaska, usa",42.0
166172,166173,"aachen, nrw, germany",
29603,29604,"eindhoven, europe,",
171760,171761,"san diego, california, usa",
121969,121970,"san francisco, california, usa",
25798,25799,"shanghai, shanghai, china",21.0
275993,275994,"rome, new york, usa",49.0
257303,257304,"manila, washington, philippines",18.0
136062,136063,"marana, arizona, usa",41.0
192761,192762,"erdenheim, pennsylvania, usa",45.0
275717,275718,"bloomington, indiana, usa",18.0
128312,128313,"madrid, castilla, spain",18.0
64940,64941,"altoona, pennsylvania, usa",47.0
183650,183651,"san francisco, california, usa",
28032,28033,"longview, texas, usa",19.0
222981,222982,"calgary, alberta, canada",
175221,175222,"roma, lazio, italy",
170523,170524,"chandler, arizona, usa",41.0
13890,13891,"ashtabula, ohio, usa",58.0
272225,272226,"xi`an, shanxi, china",25.0
140379,140380,"paris, ,",0.0
65981,65982,"edinburgh, scotland, united kingdom",54.0
20072,20073,"madrid, n/a, spain",41.0
206250,206251,"edmond, oklahoma, usa",
39716,39717,"santiago, santiago, chile",28.0
258449,258450,"caldas da rainha, leiria, portugal",26.0
210222,210223,"chicago, illinois, usa",22.0
273383,273384,"bristol, england, united kingdom",36.0
121654,121655,"madrid, arizona, spain",43.0
201759,201760,"mitchell, indiana, usa",29.0
12465,12466,"köln, nordrhein-westfalen, germany",
7321,7322,"hove, antwerp, belgium",62.0
35533,35534,"alliance, ohio, usa",72.0
56966,56967,"arlington, texas, usa",41.0
94321,94322,"littlehampton, west sussex, united kingdom",
83977,83978,"ossining, new york, usa",44.0
181595,181596,"squaw valley, california, usa",32.0
218239,218240,"savage, minnesota, usa",35.0
240361,240362,"christopher, illinois, usa",29.0
235256,235257,"lisboa, estremadura, portugal",51.0
277148,277149,"jena, thueringen, germany",14.0
115806,115807,"christchurch, canterbury, new zealand",49.0
49480,49481,"roma, lazio, italy",
19490,19491,"bellingham, washington, usa",
105836,105837,"tucson, arizona, usa",
241293,241294,"rockledge, florida, usa",
38330,38331,"bihac, bihac, bosnia and herzegovina",19.0
99801,99802,"bristol, n/a, united kingdom",41.0
169822,169823,"arlington, virginia, usa",
83146,83147,"hopewell, new jersey, usa",
210410,210411,"zaragoza, aragón, spain",16.0
26118,26119,"rossano, cosenza, italy",27.0
26509,26510,"san francisco, california, usa",75.0
139862,139863,"gandeeville, west virginia, usa",29.0
268751,268752,"quincy, massachusetts, usa",23.0
106795,106796,"torrent, valencia, spain",22.0
269733,269734,"dallas, north carolina, usa",
48313,48314,"san jose, california, usa",
46699,46700,"bern, bern, switzerland",
193357,193358,"tehran, victoria, iran",32.0
115695,115696,"toronto, ontario, canada",15.0
89189,89190,"sidney, british columbia, canada",
15283,15284,"lambersart, nord, france",20.0
82537,82538,"brisbane, queensland, australia",34.0
188999,189000,"barcelona, catalunya, spain",27.0
10398,10399,"chennai, tn, india",
48551,48552,"decatur, georgia, usa",59.0
231417,231418,"dallas, texas, usa",48.0
157235,157236,"berlin, berlin, germany",
40790,40791,"tolland, connecticut, usa",
101214,101215,"annandale, virginia, usa",
157439,157440,"villa nueva, cordoba, argentina",38.0
273589,273590,"barcelona, n/a, spain",25.0
86249,86250,"knoxville, tennessee, usa",43.0
38015,38016,"montreal, quebec, canada",34.0
42848,42849,"summerville, south carolina, usa",32.0
256441,256442,"huelva, huelva, spain",
100421,100422,"albuquerque, new mexico, usa",73.0
128624,128625,"sevilla, sevilla, spain",26.0
182858,182859,"frederick, maryland, usa",47.0
166914,166915,"berlin, bayern, germany",27.0
55457,55458,"san francisco, california, usa",44.0
51187,51188,"tucson, arizona, usa",59.0
17096,17097,"alicante, alicante, spain",44.0
115085,115086,"sullivan, illinois, usa",60.0
195281,195282,"barcelona, catalunya, spain",39.0
55065,55066,"vancouver, washington, usa",
100292,100293,"copenhagen, n/a, denmark",
167304,167305,"palmerston north, manawatu, new zealand",27.0
82352,82353,"munich, bayern, germany",53.0
145640,145641,"madison, new jersey, usa",
141686,141687,"london, england, united kingdom",31.0
197215,197216,"rivalta di torino, piemonte, italy",35.0
85020,85021,"castelo branco, castelo branco, portugal",32.0
18377,18378,"timaru, south canterbury, new zealand",47.0
42185,42186,"grand rapids, michigan, usa",48.0
211044,211045,"clark, new jersey, usa",0.0
151994,151995,"seattle, washington, usa",
244112,244113,"paris, n/a, france",25.0
124922,124923,"edmonton, alberta, canada",
111190,111191,"vancouver, british columbia, canada",
244298,244299,"bell city, missouri, usa",31.0
233993,233994,"streetman, texas, usa",
177196,177197,"roseburg, oregon, usa",
135494,135495,"porto seguro, brazil, brazil",
140459,140460,"verona, wisconsin, usa",58.0
241070,241071,"jefferson city, missouri, usa",
248573,248574,"muriedas, cantabria, spain",30.0
241688,241689,"sofia, sofia, bulgaria",17.0
38784,38785,"troy, missouri, usa",
215335,215336,"new york city, new york, usa",
65239,65240,"torino, piemonte, italy",27.0
62435,62436,"perkasie, pennsylvania, usa",
134645,134646,"hünenberg, zug, switzerland",
100795,100796,"willich, nordrhein-westfalen, germany",36.0
195898,195899,"toronto, ontario, canada",19.0
192799,192800,"st. paul, minnesota, usa",
151888,151889,"g e e l o n g, v i c t o r i a,",
118731,118732,"buckley, washington, usa",29.0
89389,89390,"graz, steiermark, austria",25.0
246372,246373,"salt lake city, utah, usa",
86584,86585,"houston, texas, usa",
90001,90002,"toronto, ontario, canada",58.0
103096,103097,"bonn, northrhine-westfalia, germany",
264348,264349,"avon lake, ohio, usa",
274269,274270,"yogyakarta, n/a, indonesia",23.0
9121,9122,"piacnza, emilia romagna, italy",25.0
149380,149381,"brasilia, df, brazil",39.0
54506,54507,"summit, new jersey, usa",
246712,246713,"newcastle upon tyne, england, united kingdom",27.0
62862,62863,"greenville, north carolina, usa",16.0
71960,71961,"lahnau, hessen, germany",14.0
207082,207083,"molong, new south wales, australia",
23914,23915,"nashville, tennessee, usa",
53515,53516,"reston, virginia, usa",27.0
124797,124798,"spearfish, south dakota, usa",
108302,108303,"thistle, massachusetts, usa",52.0
73267,73268,"wiesbaden, hessen, germany",29.0
264415,264416,"tecumseh, michigan, usa",35.0
78719,78720,"council bluffs, iowa, usa",
84687,84688,"woodstock, ontario, canada",55.0
203171,203172,"stuart, florida, usa",
89316,89317,"quanah, texas, usa",55.0
9784,9785,"wallace, north carolina, usa",34.0
12345,12346,"&#305;stanbul, istanbul, turkey",19.0
198646,198647,"breda, n/a, netherlands",
78096,78097,"istanbul, istanbul, turkey",
40930,40931,"meredith, new hampshire, usa",18.0
146363,146364,"edison, ohio, usa",36.0
81957,81958,"osnabrück, niedersachsen, germany",
277446,277447,"aleksinac, serbia & montenegro, yugoslavia",
225420,225421,"dresden, sachsen, germany",42.0
146195,146196,"bournemouth, n/a, united kingdom",
158819,158820,"pittsburgh, pennsylvania, usa",
51723,51724,"horsham, west sussex, england",
108661,108662,"barcelona, catalunya, spain",26.0
121381,121382,"ocala, florida, usa",15.0
132548,132549,"milano, lombardia, italy",31.0
140008,140009,"victoria, british columbia, canada",
143527,143528,"santa paula, california, usa",23.0
59545,59546,"dortmund, nordrhein-westfalen, germany",37.0
223867,223868,"perth, western australia, australia",
185756,185757,"lafayette, colorado, usa",
8239,8240,"lawrenceburg, indiana, usa",50.0
122405,122406,"ottawa, ontario, canada",25.0
67536,67537,"slemp, kentucky, usa",50.0
270250,270251,"rockport, massachusetts, usa",38.0
89027,89028,"athens, attiki, greece",
62585,62586,"university place, washington, usa",46.0
84237,84238,"melbourne cbd, victoria, australia",35.0
20381,20382,"gastonia, north carolina, usa",
47824,47825,"morgan hill, california, usa",
163084,163085,"palmerston north, manawatu, new zealand",43.0
14256,14257,"trier, rheinland-pfalz, germany",34.0
180359,180360,"cortegassa, aveiro, portugal",43.0
262992,262993,"boise city, oklahoma, usa",
243790,243791,"atlanta, georgia, usa",
184532,184533,"pueblo, colorado, usa",20.0
208596,208597,"woodcliff lake, new jersey, usa",48.0
173969,173970,"schroon lake, new york, usa",49.0
162130,162131,"san antonio, texas, usa",
191033,191034,"madrid, madrid, spain",28.0
233571,233572,"elburn, ,",14.0
141104,141105,"barcelona, barcelona, spain",33.0
67678,67679,"reinheim, hessen, germany",
72641,72642,"croydon, surrey, united kingdom",23.0
38696,38697,"rome, lazio, italy",35.0
278489,278490,"southfield, michigan, usa",
153823,153824,"milano, lombardia, italy",
137176,137177,"erfurt, thueringen, germany",
163285,163286,"altlussheim, baden-wuerttemberg, germany",24.0
14243,14244,"wickenburg, arizona, usa",58.0
153724,153725,"rome, italy, italy",42.0
235188,235189,"snohomish, washington, usa",31.0
237376,237377,"st. louis, missouri, usa",
215123,215124,"wynn vale, south australia, australia",43.0
49138,49139,"aarhus n, jutland, denmark",28.0
156479,156480,"franklin park, new jersey, usa",57.0
262569,262570,"akron, ohio, usa",
81881,81882,"lompoc, california, usa",
133956,133957,"lafayette, california, usa",
72373,72374,"hampshire, england, united kingdom",28.0
122259,122260,"scottsmills, oregon, usa",
175241,175242,"sydney, new south wales, australia",23.0
92854,92855,"london, england, united kingdom",36.0
212621,212622,"palestine, texas, usa",
88076,88077,"chicago, illinois, usa",44.0
187723,187724,"palma de mallorca, islas baleares, spain",35.0
58890,58891,"genoa, liguria, italy",26.0
174573,174574,"dayton, tennessee, usa",
45977,45978,"huntsville, alabama, usa",
12218,12219,"south haven, michigan, usa",
272187,272188,"new hyde park, new york, usa",23.0
48361,48362,"fenton, ,",
260938,260939,"kingston, pennsylvania, usa",31.0
221966,221967,"blackstone, massachusetts, usa",
228486,228487,"sunland park, new mexico, usa",21.0
208169,208170,"summerton, south carolina, usa",
133269,133270,"birmingham, alabama, usa",
160159,160160,"auckland, north island, new zealand",
73027,73028,"leipzig, sachsen, germany",
43601,43602,"winnipeg, manitoba, canada",
44930,44931,"waterdown, ontario, canada",
80592,80593,"halifax, nova scotia, canada",41.0
267529,267530,"phoenix, arizona, usa",58.0
268017,268018,"portland, oregon, usa",
105675,105676,"barcelona, barcelona, spain",24.0
5297,5298,"tehran, nebraska, iran",28.0
20158,20159,"scotts valley, california, usa",
5324,5325,"maitland, ontario, canada",
28392,28393,"union city, new jersey, usa",35.0
261102,261103,"ljubljana, ljubljana, slovenia",
259378,259379,"baton rouge, louisiana, usa",
189267,189268,"provo, utah, usa",36.0
148222,148223,"ingelheim, rheinland-pfalz, germany",51.0
50198,50199,"rockaway beach, oregon, usa",
11359,11360,"kirkland, washington, usa",61.0
216177,216178,"cheltenham, england, united kingdom",
39889,39890,"pasig city, n/a, philippines",0.0
91499,91500,"rivergaro (piacenza), emilia romagna, italy",32.0
179487,179488,"midlothian, virginia, usa",
239953,239954,"waco, texas, usa",30.0
136938,136939,"paris, ile-de-france, france",19.0
1499,1500,"brighton, england, united kingdom",
55537,55538,"seattle, washington, usa",32.0
244520,244521,"burnaby, british columbia, canada",
14392,14393,"vienna, ,",
109378,109379,"san francisco, california, usa",
218309,218310,"amstelveen, noord holland, netherlands",
112083,112084,"port kennedy, western australia, australia",20.0
35220,35221,"n/a, california, usa",54.0
156232,156233,"torino, piemonte, italy",
156540,156541,"spring, texas, usa",
237191,237192,"portland, oregon, usa",
162405,162406,"norman, oklahoma, usa",23.0
245910,245911,"maple grove, minnesota, usa",50.0
250494,250495,"ankeny, iowa, usa",
97250,97251,"funchal, madeira, portugal",25.0
228081,228082,"harcourt, victoria, australia",
23366,23367,"tallahassee, florida, usa",
43676,43677,"parlin, new jersey, usa",
189039,189040,"tugun, queensland, australia",37.0
142741,142742,"düsseldorf, nordrhein-westfalen, germany",
111598,111599,"gaffney, south carolina, usa",
118395,118396,"nürnberg, bayern, germany",22.0
118046,118047,"merlo, san luis, argentina",18.0
126912,126913,"hutchinson, kansas, usa",
233932,233933,"kanata, ontario, canada",
125135,125136,"lincoln, nebraska, usa",
169301,169302,"brentwood, tennessee, usa",41.0
196469,196470,"brick, new jersey, usa",54.0
84129,84130,"haddonfield, new jersey, usa",
84233,84234,"brighton, massachusetts, usa",45.0
112628,112629,"newport center, vermont, usa",15.0
229859,229860,"el paso, texas, usa",54.0
262700,262701,"lima, lima, peru",27.0
97911,97912,"albershausen, baden-württemberg, germany",
81909,81910,"melbourne, victoria, australia",15.0
219947,219948,"rossville, kansas, usa",
269351,269352,"great falls, montana, usa",
147152,147153,"london, n/a, united kingdom",
213521,213522,"wichita, kansas, usa",47.0
99986,99987,"aarhus, n/a, denmark",
101034,101035,"san antonio, texas, usa",33.0
27061,27062,"sabadell, catalunya, spain",29.0
36283,36284,"regina, saskatchewan, canada",41.0
223662,223663,"bacton green, norfolk, united kingdom",66.0
149650,149651,"aurora, ontario, canada",
271112,271113,"ponte vedra beach, florida, usa",
151156,151157,"napa, california, usa",26.0
14231,14232,"paris, paris, france",23.0
8262,8263,"philadelphia, pennsylvania, usa",
1109,1110,"dublin, county dublin, ireland",31.0
124784,124785,"penrith, cumbria, united kingdom",61.0
35508,35509,"chengdu, arizona, china",
114378,114379,"columbus, georgia, usa",31.0
236973,236974,"seattle, washington, usa",36.0
199849,199850,"castelldefels, barcelona, spain",20.0
224553,224554,"hailey, idaho, usa",
84900,84901,"mössingen, berlin, ghana",
266299,266300,"comox, british columbia, canada",69.0
21899,21900,"rockford, illinois, usa",29.0
179236,179237,"dubai, dubai, united arab emirates",26.0
11413,11414,"stevenage, england, united kingdom",
138602,138603,"castle rock, washington, usa",54.0
140757,140758,"auckland, auckland, new zealand",23.0
251760,251761,"fort smith, arkansas, usa",
210016,210017,"indiana, pennsylvania, usa",
10221,10222,"prince george, british columbia, canada",
245746,245747,"stratford, ontario, canada",41.0
115291,115292,"foshan, guangdong, china",18.0
262495,262496,"lanus oeste, buenos aires, argentina",32.0
101099,101100,"makahilani, california, usa",18.0
151116,151117,"hopewell, virginia, usa",44.0
172615,172616,"berlin, berlin, guatemala",
26454,26455,"piedmont, california, usa",
246357,246358,"neron, n/a, france",25.0
79515,79516,"owen sound, ontario, canada",20.0
210914,210915,"las vegas, nevada, usa",71.0
96759,96760,"london, england, united kingdom",34.0
224531,224532,"marianna, florida, usa",19.0
239500,239501,"lausanne, vaud, switzerland",30.0
138263,138264,"scarborough, maine, usa",35.0
15202,15203,"san francisco, california, usa",
118590,118591,"london, forest gate, united kingdom",32.0
209933,209934,"tunbridge wells, kent, united kingdom",56.0
101579,101580,"roanoke, virginia, usa",40.0
95382,95383,"las vegas, nevada, usa",34.0
35312,35313,"broadview hts., ohio, usa",24.0
74571,74572,"cambridge, ohio, usa",
104377,104378,"trieste, friuli venezia giulia, italy",55.0
155200,155201,"gold coast, australian capital territory, australia",14.0
157563,157564,"sumner, ,",32.0
256039,256040,"berlin/fulda, berlin, germany",
128006,128007,"haltom city, texas, usa",32.0
47355,47356,"kuching, sarawak, malaysia",53.0
132033,132034,"lamar, indiana, usa",
80497,80498,"tauranga, bay of plenty, new zealand",17.0
192923,192924,"nr banbury, england, united kingdom",40.0
206340,206341,"ried im innkreis, oberoesterreich, austria",29.0
249897,249898,"athens, attiki, greece",25.0
139250,139251,"troy, illinois, usa",
174320,174321,"brooklyn, ohio, usa",47.0
85486,85487,"traverse city, michigan, usa",40.0
265001,265002,"singapore, n/a, singapore",15.0
142836,142837,"montreal, quebec, canada",
161520,161521,"brookline, new hampshire, usa",58.0
275404,275405,"rotterdam, zuid holland, netherlands",24.0
42490,42491,"mountain view, california, usa",43.0
40901,40902,"vila nova de gaia, douro litoral, portugal",
125263,125264,"kemmerer, wyoming, usa",29.0
223045,223046,"santa cruz, california, usa",
10940,10941,"sacramento, california, usa",56.0
174375,174376,"cologne, nordrhein-westfalen, germany",
211584,211585,"toronto, ontario, canada",26.0
27107,27108,"darmstadt, hessen, germany",30.0
51223,51224,"seattle, , usa",
38171,38172,"middletown, pennsylvania, usa",47.0
50805,50806,"brentwood, england, united kingdom",
273919,273920,"tucson, arizona, usa",
40148,40149,"san francisco, california, usa",
262705,262706,"karratha, western australia, australia",25.0
136820,136821,"rochester, new york, usa",21.0
120159,120160,"london, england, united kingdom",28.0
127346,127347,"frankfurt am main, hessen, germany",27.0
81343,81344,"lowbanks, ontario, canada",22.0
105758,105759,"los angeles, california, usa",
3870,3871,"roseburg, oregon, usa",50.0
181113,181114,"//, //, israel",
124930,124931,"ipoh, perak, malaysia",15.0
276684,276685,"reeves, louisiana, usa",
145025,145026,"recklinghausen, nordrhein westfalen, germany",21.0
169082,169083,"monticello, iowa, usa",39.0
94354,94355,"goodlettsville, tennessee, usa",
67793,67794,"indialantic, florida, usa",57.0
185265,185266,"cheektowaga, new york, usa",
42784,42785,"madison, indiana, usa",32.0
88208,88209,"toulouse, n/a, france",21.0
71958,71959,"madrid, madrid, spain",
147017,147018,"laguna niguel, california, usa",32.0
56520,56521,"newtown, wales, united kingdom",39.0
151526,151527,"glossop, england, united kingdom",40.0
187886,187887,"covington, georgia, usa",
240109,240110,"denver, colorado, usa",25.0
196612,196613,"bray, n/a, ireland",49.0
224941,224942,"lincoln, nebraska, usa",32.0
237167,237168,"clovis, california, usa",
142371,142372,"campbell, california, usa",
116203,116204,"madrid, madrid, spain",21.0
77107,77108,"london, england, united kingdom",52.0
234080,234081,"madrid, madrid, spain",29.0
60806,60807,"perth, western australia, australia",57.0
36621,36622,"morgan hill, california, usa",
117785,117786,"steamboast springs, colorado, usa",41.0
70918,70919,"eugene, oregon, usa",20.0
247021,247022,"winchester, hampshire, united kingdom",
269589,269590,"pittsbrgh, pennsylvania, usa",
144637,144638,"graz, steiermark, austria",24.0
251072,251073,"harrisburg, north carolina, usa",
228963,228964,"monongahela, pennsylvania, usa",
1558,1559,"manchester, new hampshire, usa",
203246,203247,"sindelfingen, baden-wuerttemberg, germany",46.0
53313,53314,"atibaia, são paulo, brazil",42.0
90783,90784,"chicago, illinois, usa",
111751,111752,"calgary, alberta, canada",
35234,35235,"junction city, arkansas, usa",57.0
106738,106739,"rimini, rimini, italy",
37147,37148,"canberra, australian capital territory, australia",
204142,204143,"lagos, lagos state, nigeria",30.0
79431,79432,"bandung, jawa barat, indonesia",
13520,13521,"new york,, new york, usa",21.0
87143,87144,"albany, new york, usa",13.0
8746,8747,"portland, oregon, usa",
112773,112774,"lakeland, florida, usa",
230114,230115,"ap, florida, usa",44.0
53992,53993,"gerald, missouri, usa",45.0
156689,156690,"valencia, valencia, spain",25.0
135946,135947,"apo, new york, germany",
12491,12492,"rochester, minnesota, usa",17.0
75723,75724,"boston, massachusetts, usa",
244093,244094,"albrightsville, pennsylvania, usa",
53208,53209,"notre dame, indiana, usa",19.0
106366,106367,"oron-la-ville, canton de vaud, switzerland",36.0
28601,28602,"wingham, ontario, canada",
23511,23512,"wellington, wellington, new zealand",
66249,66250,"montreal, quebec, canada",44.0
224833,224834,"paris, idf, france",47.0
55893,55894,"shropshire, england, united kingdom",20.0
198319,198320,"sofia, n/a, bulgaria",17.0
195656,195657,"high wycombe, england, united kingdom",
24145,24146,"houghton, michigan, usa",
1012,1013,"philadelphia, pennsylvania, usa",23.0
255634,255635,"muskegon, michigan, usa",66.0
196347,196348,"dallas, texas, usa",
211022,211023,"cooma, new south wales, australia",44.0
51283,51284,"perth, western australia, australia",46.0
227736,227737,"hammond, louisiana, usa",42.0
178172,178173,"mukilteo, ,",
270328,270329,"overland, missouri, usa",43.0
137876,137877,"cary, north carolina, usa",47.0
26370,26371,"vancouver, british columbia, canada",65.0
191406,191407,"tarragona, tarragona, catalonia",28.0
230055,230056,"st peters, missouri, usa",
247521,247522,"pecs, n/a, hungary",43.0
277915,277916,"australind, western australia, australia",46.0
264920,264921,"smethwick, england, united kingdom",37.0
181266,181267,"dublin, n/a, ireland",30.0
126377,126378,"brooklyn, new york, usa",28.0
119542,119543,"mason city, iowa, usa",
205687,205688,"singapore, n/a, singapore",18.0
24173,24174,"uxbridge, england, united kingdom",
230279,230280,"visalia/fresno, california, usa",31.0
114063,114064,"oakville, ontario, canada",27.0
8712,8713,"gandia, valencia, spain",30.0
230338,230339,"herford, nordrhein-westfalen, germany",
93815,93816,"port orchard, washington, usa",56.0
160393,160394,"edmonton, alberta, canada",
218302,218303,"shenzhen, guangdong, china",37.0
256046,256047,"vestavia, alabama, usa",34.0
174548,174549,"dartmouth, massachusetts, usa",65.0
89679,89680,"karachi, sindh, pakistan",27.0
184140,184141,"troutdale, oregon, usa",
175905,175906,"valenza, piemonte, italy",
57033,57034,"dundee, scotland, united kingdom",
41539,41540,"stevensville, maryland, usa",51.0
63363,63364,"fieni, dambovita, romania",25.0
109231,109232,"houston, texas, usa",22.0
127287,127288,"wolverhampton, west midlands, united kingdom",26.0
23264,23265,"schenefeld, schleswig-holstein, germany",
103799,103800,"santa clara, california, usa",
246932,246933,"durbin, west virginia, usa",67.0
234780,234781,"east malvern, victoria, australia",45.0
81706,81707,"la vista, nebraska, usa",42.0
199087,199088,"nyc, new york, usa",54.0
224730,224731,"scituate, massachusetts, usa",
177594,177595,"bullville, new york, usa",
14176,14177,"mill valley, california, usa",
71988,71989,"indianapolis, indiana, usa",50.0
108367,108368,"charlotte, n., usa",
25383,25384,"wilson, north carolina, usa",46.0
120114,120115,"albuquerque, new mexico, usa",55.0
112306,112307,"ballwin, missouri, usa",
27954,27955,"coal township, pennsylvania, usa",16.0
197913,197914,"toronto, ontario, canada",
84097,84098,"torino, to, italy",
113818,113819,"newtown square, pennsylvania, usa",40.0
85750,85751,"queens, new york, usa",33.0
77054,77055,"eureka, california, usa",
62444,62445,"glassboro, new jersey, usa",
226758,226759,"franklin park, illinois, usa",42.0
153760,153761,"gaithersburg, maryland, usa",31.0
180796,180797,"rancho santa margarita, california, usa",16.0
235070,235071,"köln, nordrhein-westfalen, germany",
179841,179842,"lier, buskerud, norway",27.0
269703,269704,"katowice, silesia, poland",39.0
1934,1935,"hoboken, new jersey, usa",23.0
192493,192494,"santiago, rm, chile",27.0
241737,241738,"new braunfels, texas, usa",16.0
277511,277512,"burlington, ontario, canada",
264984,264985,"albuquerque, new mexico, usa",15.0
